price,title,location,address,description,bedrooms,bathrooms,parking,size,url,image_url
KSh 9 700 000,2 Bedroom Apartment / Flat,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",">Plumeria Residency is located at the intersection of Riara Road and
Kingara road, setting",2,2,1,110 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-115815978,https://images.prop24.com/wu4o5atbjulwvakd3ac3xlqgay/Crop600x400
KSh 16 100 000,3 Bedroom Apartment / Flat,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",">Plumeria Residency is located at the intersection of Riara Road and
Kingara road, setting",3,4.5,2,160 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-115817905,https://images.prop24.com/wu4o5atbjulwvakd3ac3xlqgay/Crop600x400
KSh 150 000 000,4 Bedroom House,Loresho,"Loresho, Loresho, Nairobi",Discover an exclusive gated community of 26 high-end residences nestled in the serene,4,4,2,0.25 acres,https://www.property24.co.ke/4-bedroom-house-for-sale-in-loresho-115824814,https://images.prop24.com/7opqv2ibh3masbpvjd2agxzit4/Crop600x400
KSh 28 200 000,5 Bedroom Apartment / Flat,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi","Plumeria Residency is located at the intersection of Riara Road and
Kingara road, setting",5,6.5,2,250 m²,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-115816174,https://images.prop24.com/wu4o5atbjulwvakd3ac3xlqgay/Crop600x400
KSh 20 769 125,2 Bedroom Apartment / Flat,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi","USD 160,580
Nestled along the prestigious Riverside Drive in Nairobi, these exclusive",2,2,2,264 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-115829333,https://images.prop24.com/baj55gzrx5gsvp6cd4gxwu7wvy/Crop600x400
KSh 75 000 000,5 Bedroom Townhouse,Lavington,"Lavington, Lavington, Nairobi","KSH 75,000,000
Discover luxury living in this spacious 5-bedroom townhouse, located in an",5,6,4,412 m²,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-lavington-115828511,https://images.prop24.com/ueg6eyehyjyb7lzfapphpwpecq/Crop600x400
KSh 7 500 000,1 Bedroom Apartment / Flat,Westlands,"Westlands, Westlands, Nairobi","Discover the Ultimate Urban Retreat in the Heart of Westlands
These luxury 1 & 2-bedroom",1,1,1,112 m²,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-115827365,https://images.prop24.com/ddmtvxiqpt74jgia7fmmjqbjhy/Crop600x400
KSh 7 000 000,1 Bedroom Apartment / Flat,Lavington,"MVGP+C22 Moses Tanui Rd, Lavington, Nairobi","FOR SALE
SPACIOUS 1 & 2 BEDROOM APARTMENTS
CONTACT/WHATSAPP:  +254 721 514314
Price",1,1,1,61 m²,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-lavington-115818538,https://images.prop24.com/djesqjzmn5a6dnzp5kzrqawzfe/Crop600x400
KSh 7 000 000,1 Bedroom Apartment / Flat,Lavington,"MVGP+C22 Moses Tanui Rd, Lavington, Nairobi","FOR SALE
SPACIOUS 1 & 2 BEDROOM APARTMENTS
CONTACT/WHATSAPP:  +254 721 514314
Price",1,1,1,61 m²,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-lavington-101742888,https://images.prop24.com/djesqjzmn5a6dnzp5kzrqawzfe/Crop600x400
KSh 20 769 125,2 Bedroom Apartment / Flat,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi","USD 160,580
Nestled along the prestigious Riverside Drive in Nairobi, these exclusive",2,2,2,274 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-115827412,https://images.prop24.com/dzilzcup4zczfdipjdgbnwbnua/Crop600x400
KSh 33 500 000,4 Bedroom Apartment / Flat,Kilimani,"PQ2G+QH Kilimani, Kilimani, Nairobi","FOR SALE: 2, 3, 4 & 5 BEDROOM APARTMENTS ALL EN-SUITE & 5 BEDROOM DUPLEXES
CALL /WHATSAPP:",4,5.5,2,310 m²,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-115806625,https://images.prop24.com/xq7qfn236zfw6242azha2unn2m/Crop600x400
KSh 26 500 000,4 Bedroom Apartment / Flat,Kilimani,"PQ2G+QH Kilimani, Kilimani, Nairobi","FOR SALE: 2, 3, 4 & 5 BEDROOM APARTMENTS ALL EN-SUITE & 5 BEDROOM DUPLEXES
CALL /WHATSAPP:",4,5.5,2,230 m²,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-115806662,https://images.prop24.com/xq7qfn236zfw6242azha2unn2m/Crop600x400
KSh 22 500 000,3 Bedroom Apartment / Flat,Kilimani,"PQ2G+QH Kilimani, Kilimani, Nairobi","FOR SALE: 2, 3, 4 & 5 BEDROOM APARTMENTS ALL EN-SUITE & 5 BEDROOM DUPLEXES
CALL/WHATSAPP:",3,4.5,2,202 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-115806645,https://images.prop24.com/jo3fzfdyn5ewthphjzf3xtxypa/Crop600x400
KSh 250 000 000,5 Bedroom House,Runda,"Runda Kitisuru, Runda, Nairobi","Stunning and lustrous 5bedroom house all ensuite with a staff quarter for two.
Located in",5,5,4,1 acres,https://www.property24.co.ke/5-bedroom-house-for-sale-in-runda-115829430,https://images.prop24.com/6zydh7s4kh7hkrbkmnvfqfxkqa/Crop600x400
KSh 120 000 000,4 Bedroom House,Kitisuru,"Kitisuru Nairobi, Kitisuru, Nairobi",Adorable 4 bedroom house for sale in a cool serene neighborhood of Kitisuru . It enjoys all,4,4,4,0.5 acres,https://www.property24.co.ke/4-bedroom-house-for-sale-in-kitisuru-115828999,https://images.prop24.com/k4qffx6lxpalzhkbr6xgugxuim/Crop600x400
KSh 38 000 000,4 Bedroom House,Kitisuru,"Kitisuru Nairobi, Kitisuru, Nairobi","4br all ensuite on Kirawa road.
Features include;
* Modern finishes
* Fitted kitchen
*",4,4,4,0.12 acres,https://www.property24.co.ke/4-bedroom-house-for-sale-in-kitisuru-115829013,https://images.prop24.com/bwzjswnbuf4bhdhsdpiqfh5ey4/Crop600x400
KSh 80 000 000,4 Bedroom House,Westlands,"Grevillea Grove Spring Valley, Westlands, Nairobi","Elegant 4 bedrooms Townhouse in Spring Valley within a gated community of 16 units, 3",4,4,4,500 m²,https://www.property24.co.ke/4-bedroom-house-for-sale-in-westlands-115829213,https://images.prop24.com/ohsx4sv3wayovimagh6uq3jwom/Crop600x400
KSh 13 000 000,2 Bedroom Apartment / Flat,Kilimani,"PQ2G+QH Kilimani, Kilimani, Nairobi","FOR SALE: 2, 3, 4 & 5 BEDROOM APARTMENTS ALL EN-SUITE & 5 BEDROOM DUPLEXES
CALL/WHATSAPP:",2,2,1,96 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-115800904,https://images.prop24.com/ppmhh5dvx2gsjhep5emgjll7pm/Crop600x400
KSh 105 000 000,4 Bedroom House,Lower Kabete,"Lower Kabete Nairobi, Lower Kabete, Nairobi","For Sale: Elegant 4-Bedroom Contemporary Home in Lower Kabete

Welcome to this stunning",4,4,4,0.5 acres,https://www.property24.co.ke/4-bedroom-house-for-sale-in-lower-kabete-115829390,https://images.prop24.com/4u6vi43s2hgw6pryxx7cy2myce/Crop600x400
KSh 26 500 000,4 Bedroom Apartment / Flat,Kilimani,"PQ2G+QH Kilimani, Kilimani, Nairobi","FOR SALE: 2, 3, 4 & 5 BEDROOM APARTMENTS ALL EN-SUITE & 5 BEDROOM DUPLEXES
CALL/WHATSAPP:",4,5.5,2,230 m²,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-115800918,https://images.prop24.com/xq7qfn236zfw6242azha2unn2m/Crop600x400
KSh 60 000 000,4 Bedroom House,Kitisuru,"Kitisuru Nairobi, Kitisuru, Nairobi","For Sale: 5-Bedroom Bungalow in  Kitusuru

Discover a luxurious lifestyle in this",4,4,5,5 acres,https://www.property24.co.ke/4-bedroom-house-for-sale-in-kitisuru-115831262,https://images.prop24.com/rac25eauej2loiuulrcdg4edhu/Crop600x400
KSh 22 000 000,3 Bedroom Apartment / Flat,Kilimani,"PQ2G+QH Kilimani, Kilimani, Nairobi","FOR SALE: 2, 3, 4 & 5 BEDROOM APARTMENTS ALL EN-SUITE & 5 BEDROOM DUPLEXES
CALL /WHATSAPP:",3,4.5,2,202 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-115800948,https://images.prop24.com/bs5b5nfyznagnrsy3ftezzzt2a/Crop600x400
KSh 125 000 000,5 Bedroom House,Kitisuru,"Kitisuru Nairobi, Kitisuru, Nairobi",This stunning villa is situated in a gated community consisting of 4 units in Kitisuru. The,5,5,4,0.12 acres,https://www.property24.co.ke/5-bedroom-house-for-sale-in-kitisuru-115829065,https://images.prop24.com/blxlnkqog3ubxjn5pgyjbexxqu/Crop600x400
KSh 8 500 000,2 Bedroom Apartment / Flat,Kilimani,"PQ3R+CC6 George Padmore Road, Kilimani, Nairobi","FOR SALE: STUDIO, 1 & 2 BEDROOM APARTMENTS
CALL/WHATSAPP: +254 721 514314 / +254 721",2,2,1,85 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-115806679,https://images.prop24.com/xvx3zzvv5dmf4vxb2exrg5ynpe/Crop600x400
KSh 300 000 000,6 Bedroom House,Runda,"Runda Kitisuru, Runda, Nairobi","Luxurious 6 bedroom house for sale in Runda
Find tranquility in this luxurious 6 bedroom",6,6,8,0.5 acres,https://www.property24.co.ke/6-bedroom-house-for-sale-in-runda-115829451,https://images.prop24.com/lppstguudg4tt5jnhoenvephla/Crop600x400
KSh 80 000 000,4 Bedroom House,Westlands,"Grevillea Grove Spring Valley, Westlands, Nairobi","Elegant 4 bedrooms Townhouse in Spring Valley within a gated community of 16 units, 3",4,4,4,500 m²,https://www.property24.co.ke/4-bedroom-house-for-sale-in-westlands-101744327,https://images.prop24.com/ohsx4sv3wayovimagh6uq3jwom/Crop600x400
KSh 150 000 000,4 Bedroom House,Thigiri,"Thigiri Ridge Rd Nairobi, Thigiri, Nairobi",Imagine a life of elegance and comfort in the heart of one of Nairobi's most prestigious,4,4,4,0.5 acres,https://www.property24.co.ke/4-bedroom-house-for-sale-in-thigiri-115831709,https://images.prop24.com/sckt6oaxee6q2ryvuo6fqo7rye/Crop600x400
KSh 109 000 000,4 Bedroom House,Loresho,"Loresho Nairobi, Loresho, Nairobi","4 Bedroom Villas for Sale in Loresho
A luxe life space that comprises of super-premium",4,4,3,0.12 acres,https://www.property24.co.ke/4-bedroom-house-for-sale-in-loresho-115830469,https://images.prop24.com/fcswpqlxgjqaapauc5jkj656va/Crop600x400
KSh 15 000 000,2 Bedroom Apartment / Flat,Kilimani,"PQ2H+RJM Elgeyo Marakwet N, Kilimani, Nairobi","FOR SALE :STUDIO APARTMENTS, 1 & 2 BEDROOM APARTMENTS
CALL/WHATSAPP : +254 721",2,2,1,82 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-115800975,https://images.prop24.com/hvnnsniqbjstd2qq2gpikbniay/Crop600x400
KSh 59 000 000,4 Bedroom House,Westlands,"Westlands Highridge, Westlands, Nairobi","4 bedroom townhouse in spring valley/westlands for sale

Features
.All en suite 4",4,6,4,0.12 acres,https://www.property24.co.ke/4-bedroom-house-for-sale-in-westlands-115829326,https://images.prop24.com/lnceolqwkvbmbskcf7lm2y2lqq/Crop600x400
KSh 40 000 000,3 Bedroom Apartment / Flat,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",Experience sophisticated urban living in this contemporary 3-bedroom all-ensuite apartment,3,4,3,264 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-115824780,https://images.prop24.com/ddp267nskdwwxjldn2pamxvm4q/Crop600x400
KSh 109 500 000,4 Bedroom Townhouse,Loresho,"Loresho Nairobi, Loresho, Nairobi","For sale: An exclusive villas for sale in Loresho.
Super luxurious with amazing views.",4,5,4,11 m²,https://www.property24.co.ke/4-bedroom-townhouse-for-sale-in-loresho-115828628,https://images.prop24.com/r6uetwidu54vgzxkj45pmlbwp4/Crop600x400
KSh 7 900 000,1 Bedroom Apartment / Flat,Westlands,"Westlands, Westlands, Nairobi","We present an exclusive mixed-use development in the heart of Westlands, setting a new",1,1,1,75 m²,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-115828504,https://images.prop24.com/3rtq2owd7t5uzzdp7iwhfss7km/Crop600x400
KSh 85 000 000,5 Bedroom House,Westlands,"Shanzu Rd Spring Valley, Westlands, Nairobi","Stylish 5 Bedroom Villa For Sale
Spring Valley

Asking Sale Price (Unfurnished): Ksh 90",5,5,4,0.5 acres,https://www.property24.co.ke/5-bedroom-house-for-sale-in-westlands-115829155,https://images.prop24.com/enuns2j4mp6bftdz6w7b4uunmm/Crop600x400
KSh 33 500 000,5 Bedroom Apartment / Flat,Kilimani,"PQ2G+QH Kilimani, Kilimani, Nairobi","FOR SALE: 2, 3, 4 & 5 BEDROOM APARTMENTS ALL EN-SUITE & 5 BEDROOM DUPLEXES
CALL/WHATSAPP:",5,6.5,2,302 m²,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-kilimani-115796107,https://images.prop24.com/26uitx2hf5av3y6s6keuycmdku/Crop600x400
KSh 11 600 000,2 Bedroom Apartment / Flat,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",">Plumeria Residency is located at the intersection of Riara Road and
Kingara road, setting",2,2,2,110 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-115816142,https://images.prop24.com/jaxcsabbiw3jhpzu6tkbcqp7ia/Crop600x400
KSh 380 000 000,Vacant Land / Plot,Lower Kabete,"Lower Kabete Nairobi, Lower Kabete, Nairobi","2.7 Acres for sale in Lower Kabete that's on sale as a block.

Asking Price:
The whole",N/A,N/A,N/A,7.2 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-lower-kabete-115826901,https://images.prop24.com/xe6et7b6edotgckdghllctdw3m/Crop600x400
KSh 131 000 000,5 Bedroom Townhouse,Kyuna,"Kyuna Rd Nairobi, Kyuna, Nairobi","5 bedroom townhouses for sale in kyuna

The main features include the following;
1.",5,6,4,491776 m²,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-kyuna-115826996,https://images.prop24.com/xhqkczj6evniizhcfthiovxe44/Crop600x400
KSh 19 800 000,3 Bedroom Apartment / Flat,Spring Valley,"Spring Valley Nairobi, Spring Valley, Nairobi",We present luxurious apartments where modern luxury meets strategic convenience in one of,3,3,2,361 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-spring-valley-115828680,https://images.prop24.com/bvtaywlzdoakmb5xc5okuxn45i/Crop600x400
KSh 19 800 000,3 Bedroom Apartment / Flat,Spring Valley,"Spring Valley Nairobi, Spring Valley, Nairobi",We present luxurious apartments where modern luxury meets strategic convenience in one of,3,3,2,361 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-spring-valley-115828653,https://images.prop24.com/hzuwcr5xlqlab4prkn4w43za4a/Crop600x400
KSh 23 500 000,3 Bedroom Apartment / Flat,Kilimani,"Kilimani Estate Kilimani, Kilimani, Nairobi","THREE BEDROOM TWO ENSUITE APARTMENT ON SALE IN KILIMAN

Three-Bedroom Apartment with two",3,3,2,156 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-115827667,https://images.prop24.com/tl4vpqt6xdhs2hfaeo5b7lsmgy/Crop600x400
KSh 70 000 000,Vacant Land / Plot,Kitisuru,"Kitisuru Nairobi, Kitisuru, Nairobi","0.5 Acre Vacant Plot For Sale
Tate Close, Old Kitisuru Road

Asking Sale Price:
0.5",N/A,N/A,N/A,0.5 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kitisuru-115832123,https://images.prop24.com/3eihjwc2pexqsuktbfduiyvvsu/Crop600x400
KSh 220 000 000,5 Bedroom Townhouse,Lower Kabete,"Lower Kabete Nairobi, Lower Kabete, Nairobi","Magnificent 5 bedroom townhouse for sale in the best of Lower Kabete.
This is a luxurious",5,6,4,59 m²,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-lower-kabete-115828480,https://images.prop24.com/7hv5mac5yc7pi5tfu6hrxrr2z4/Crop600x400
KSh 11 000 000,2 Bedroom Apartment / Flat,Westlands,"PQQV+9XC Muthangari, Westlands, Nairobi","FOR SALE: 1-, 2- & 3-BEDROOM APARTMENTS
CALL/WHATSAPP: +254 721 514314

Orchid Residency",2,2,1,100 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-115801048,https://images.prop24.com/enjeh5ixdjnkly3mn3g2cxwq2i/Crop600x400
KSh 125 000 000,Vacant Land / Plot,Kitisuru,"Kitisuru Nairobi, Kitisuru, Nairobi","0.5 And 1 Acre Vacant Plots For Sale
Tate Close, Old Kitisuru Road

Asking Sale",N/A,N/A,N/A,1 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kitisuru-115832149,https://images.prop24.com/ewwrq4a764y7az35aafluyu2ne/Crop600x400
KSh 13 000 000,Vacant Land / Plot,Ruai,"Ruai Nairobi, Ruai, Nairobi","Located in the rapidly developing area of Ruai, this ¼-acre plot presents a fantastic",N/A,N/A,N/A,0.25 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-ruai-115825299,https://images.prop24.com/4kc3jovqgt7pitxykwnwpe567m/Crop600x400
KSh 75 000 000,5 Bedroom House,Lavington,"Lavington Kileleshwa, Lavington, Nairobi",Spacious Layout: The villa features an expansive floor plan with five generously sized,5,5,4,500 m²,https://www.property24.co.ke/5-bedroom-house-for-sale-in-lavington-115825460,https://images.prop24.com/d7iti6mltnbf4cqgeihhfdnati/Crop600x400
KSh 55 000 000,Vacant Land / Plot,Runda,"Runda Kitisuru, Runda, Nairobi","Prime 1/2 Acre Plot for Sale in Runda

Discover the perfect opportunity to own a 1/2 acre",N/A,N/A,N/A,0.5 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-runda-115825366,https://images.prop24.com/dge3d3sgtu2u7sn5w4tlqu47cu/Crop600x400
KSh 140 000 000,5 Bedroom House,Lavington,"Lavington Kileleshwa, Lavington, Nairobi","Prime Location: Situated in a highly sought-after neighborhood, this townhouse offers easy",5,5,3,500 m²,https://www.property24.co.ke/5-bedroom-house-for-sale-in-lavington-115825463,https://images.prop24.com/ofkpydlznvgjqsaypaaptx6mfm/Crop600x400
KSh 75 000 000,5 Bedroom House,Kitisuru,"Kitisuru Nairobi, Kitisuru, Nairobi","NEW KITISURU - EXECUTIVE FAIRLY NEW FIVE (5) BEDROOMS HOUSE SITTING ON 1/2 ACRE, CORNER",5,5,4,0.5 acres,https://www.property24.co.ke/5-bedroom-house-for-sale-in-kitisuru-115829077,https://images.prop24.com/x73q7k2prlk4aiotczchfztj7a/Crop600x400
KSh 29 000 000,4 Bedroom Apartment / Flat,Kilimani,"Kilimani Estate Kilimani, Kilimani, Nairobi","FOUR BEDROOM ALL ENSUITE PLUS DSQ APARTMENT FOR RENT IN KILIMANI-JohnMark

Selling a Four",4,5,2,265 m²,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-115833233,https://images.prop24.com/s3u7p2yaktcyzgjhrtfsfcglni/Crop600x400
KSh 48 000 000,6 Bedroom Townhouse,Westlands,"School Ln Spring Valley, Westlands, Nairobi","SIX BEDROOM MAISONETTE ON SALE IN BROOKSIDE WESTLANDS 

A beautifully Renovated and",6,4,3,250 m²,https://www.property24.co.ke/6-bedroom-townhouse-for-sale-in-westlands-101732715,https://images.prop24.com/aivxz4mefkzcazhr6xdgsqg664/Crop600x400
KSh 48 000 000,6 Bedroom Townhouse,Westlands,"School Ln Spring Valley, Westlands, Nairobi","SIX BEDROOM MAISONETTE ON SALE IN BROOKSIDE WESTLANDS 

A beautifully Renovated and",6,4,3,250 m²,https://www.property24.co.ke/6-bedroom-townhouse-for-sale-in-westlands-115826808,https://images.prop24.com/aivxz4mefkzcazhr6xdgsqg664/Crop600x400
KSh 23 500 000,3 Bedroom Apartment / Flat,Kilimani,"Kilimani Estate Kilimani, Kilimani, Nairobi","THREE BEDROOM TWO ENSUITE APARTMENT ON SALE IN KILIMAN

Three-Bedroom Apartment with two",3,3,2,156 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-115826820,https://images.prop24.com/tl4vpqt6xdhs2hfaeo5b7lsmgy/Crop600x400
KSh 17 030 000,2 Bedroom Apartment / Flat,Westlands,"Ring Rd Westlands Ln Nairobi, Westlands, Nairobi","TWO BEDROOM PLUS DSQ APARTMENT ON SALE IN WESTLANDS UNDER CONSTRUCTION

AVAILABLE FOR",2,3,2,131 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-115826814,https://images.prop24.com/a6var6ejc4ozubzlv5op2joyhi/Crop600x400
KSh 14 500 000,Vacant Land / Plot,Kerarapon,"Kerarapon Drive, Kerarapon, Nairobi","Kerarapon 14th Drive is a prestigious residential area in Ngong, Kajiado County,",N/A,N/A,N/A,0.25 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kerarapon-115825075,https://images.prop24.com/grlfmcd2iy4ehvjg4mcz6xyv6e/Crop600x400
KSh 25 000 000,Vacant Land / Plot,Githurai,"Githurai Nairobi County, Githurai, Nairobi","Location:
•	Touching a tarmac road for easy access
•	Conveniently located near Thika",N/A,N/A,N/A,0.38 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-githurai-115825001,https://images.prop24.com/luisowxxiudds5me5gh6gneq3q/Crop600x400
KSh 150 000 000,5 Bedroom Townhouse,Loresho,"Loresho Nairobi, Loresho, Nairobi",Discover an exclusive gated community of 26 high-end residences nestled in the serene,5,6,5,605 m²,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-loresho-115820491,https://images.prop24.com/d43bjwvtf7vibr7ewbgb2gcq4u/Crop600x400
KSh 275 000 000,Vacant Land / Plot,Westlands,"General Mathenge Dr Spring Valley, Westlands, Nairobi","0.725 Acre Plot With Stunning Forest Views
For Sale on General Mathenge Drive,",N/A,N/A,N/A,0.73 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-westlands-115824746,https://images.prop24.com/c6c64rgj34iu2uncjzjkgdefuu/Crop600x400
KSh 110 000 000,Vacant Land / Plot,Westlands,"Shanzu Rd Spring Valley, Westlands, Nairobi","Prime 0.587 Acre Residential Plot For Sale
Shanzu Road, Westlands

Asking Sale Price:",N/A,N/A,N/A,0.59 acres,https://www.property24.co.ke/vacant-land-plot-for-sale-in-westlands-115820507,https://images.prop24.com/sdyffnkdgzpfc7oo7lkk7qd5fi/Crop600x400
KSh 5 500 000,1 Bedroom Apartment / Flat,Kilimani,"Kilimani Nairobi, Kilimani, Nairobi","*prices range b.T.W -  kes. 5.5m – 6.4M
The Apartments are located in the Kilimani area.",1,N/A,N/A,55 m²,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-115829203,https://images.prop24.com/nuznbn6f2vzrruyghfsvhf6gey/Crop600x400
KSh 7 500 000,1 Bedroom Apartment / Flat,Kilimani,"Kilimani Nairobi, Kilimani, Nairobi","*prices range b.T.W - kes. 7.5m – 7.9M 
The Apartments are located in the Kilimani area.",1,N/A,N/A,70 m²,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-115829194,https://images.prop24.com/nuznbn6f2vzrruyghfsvhf6gey/Crop600x400
